batch_index,accepted_count,batch_size,accepted_fraction,mean_entropy,loss,updated
0,4,32,0.125,0.5655194520950317,,False
1,5,32,0.15625,0.538443922996521,,False
2,6,32,0.1875,0.521145224571228,,False
3,7,32,0.21875,0.5143424272537231,,False
4,6,32,0.1875,0.5208033919334412,,False
5,5,32,0.15625,0.5541934967041016,,False
6,5,32,0.15625,0.5515408515930176,,False
7,6,32,0.1875,0.5086479187011719,,False
8,5,32,0.15625,0.5450761318206787,,False
9,4,32,0.125,0.5408410429954529,,False
10,6,32,0.1875,0.550797700881958,,False
11,4,32,0.125,0.522114634513855,,False
12,6,32,0.1875,0.5424597263336182,,False
13,5,32,0.15625,0.5488067269325256,,False
14,6,32,0.1875,0.5155506134033203,,False
15,4,32,0.125,0.5475760698318481,,False
16,2,32,0.0625,0.5593045353889465,,False
17,2,32,0.0625,0.5431820154190063,,False
18,5,32,0.15625,0.5452384948730469,,False
19,6,32,0.1875,0.5380597114562988,,False
20,3,32,0.09375,0.5588866472244263,,False
21,5,32,0.15625,0.5425286889076233,,False
22,7,32,0.21875,0.5211713314056396,,False
23,8,32,0.25,0.5388442277908325,0.296936959028244,True
24,4,32,0.125,0.5463238954544067,,False
25,6,32,0.1875,0.5644446015357971,,False
26,3,32,0.09375,0.5582410097122192,,False
27,4,32,0.125,0.5530157089233398,,False
28,6,32,0.1875,0.5379362106323242,,False
29,4,32,0.125,0.5442854166030884,,False
30,5,32,0.15625,0.5434554815292358,,False
31,4,32,0.125,0.5500085353851318,,False
32,6,32,0.1875,0.5335565805435181,,False
33,4,32,0.125,0.549399197101593,,False
34,4,32,0.125,0.5488318204879761,,False
35,6,32,0.1875,0.5218667984008789,,False
36,4,32,0.125,0.5423942804336548,,False
37,9,32,0.28125,0.5054764747619629,0.28720033168792725,True
38,5,32,0.15625,0.5408027768135071,,False
39,6,32,0.1875,0.5402356386184692,,False
40,6,32,0.1875,0.5311239361763,,False
41,5,32,0.15625,0.5344745516777039,,False
42,6,32,0.1875,0.5222607851028442,,False
43,9,32,0.28125,0.5361191034317017,0.3125995993614197,True
44,8,32,0.25,0.5106989145278931,0.32488176226615906,True
45,3,32,0.09375,0.5495357513427734,,False
46,4,32,0.125,0.553856372833252,,False
47,9,32,0.28125,0.5133035182952881,0.3260601758956909,True
48,4,32,0.125,0.5536414980888367,,False
49,2,32,0.0625,0.5560950040817261,,False
50,8,32,0.25,0.5165352821350098,0.32105445861816406,True
51,5,32,0.15625,0.5424785017967224,,False
52,5,32,0.15625,0.5445382595062256,,False
53,6,32,0.1875,0.5357968807220459,,False
54,1,12,0.08333333333333333,0.5640336275100708,,False
