label,auroc,accuracy,precision,recall,f1,positives,negatives,predicted_positives,predicted_negatives
Atelectasis,0.8496923076923076,0.9310344827586207,0.18181818181818182,0.4,0.25,50,1690,110,1630
Cardiomegaly,0.8229099505695251,0.8885057471264368,0.4796747967479675,0.31216931216931215,0.3782051282051282,189,1551,123,1617
Pleural_Effusion,0.9582496207306572,0.9741379310344828,0.6101694915254238,0.6206896551724138,0.6153846153846154,58,1682,59,1681
Infiltration,0.7973407182546023,0.8574712643678161,0.06827309236947791,0.5151515151515151,0.12056737588652482,33,1707,249,1491
Pneumonia,0.8365382426199053,0.9264367816091954,0.7368421052631579,0.10218978102189781,0.1794871794871795,137,1603,19,1721
Pneumothorax,0.8718653549382717,0.9839080459770115,0.16666666666666666,0.3333333333333333,0.2222222222222222,12,1728,24,1716
Consolidation,0.9106332709152831,0.9683908045977011,0.3888888888888889,0.2978723404255319,0.3373493975903614,47,1693,36,1704
Edema,,0.9994252873563219,0.0,0.0,0.0,0,1740,1,1739
Emphysema,0.8271001150747985,0.9936781609195402,0.0,0.0,0.0,2,1738,9,1731
Pulmonary_Fibrosis,0.7993266286286177,0.9367816091954023,0.5517241379310345,0.1415929203539823,0.22535211267605634,113,1627,29,1711
Pleural_Thickening,0.8368783187043536,0.9390804597701149,0.4444444444444444,0.19801980198019803,0.273972602739726,101,1639,45,1695
Nodule_Mass,0.842390243902439,0.9316091954022988,0.4,0.38,0.38974358974358975,100,1640,95,1645
MACRO_AVERAGE,0.8502658883664328,0.9442049808429118,0.3357084838046036,0.27508488830068206,0.24935701866128365,,,,
