label,num_images_baseline,positive_rate_baseline,roc_auc_baseline,average_precision_baseline,accuracy_baseline,precision_baseline,recall_baseline,f1_baseline,num_images_old_tta,positive_rate_old_tta,roc_auc_old_tta,average_precision_old_tta,accuracy_old_tta,precision_old_tta,recall_old_tta,f1_old_tta,num_images_tta2,positive_rate_tta2,roc_auc_tta2,average_precision_tta2,accuracy_tta2,precision_tta2,recall_tta2,f1_tta2,num_images_delta_old_minus_baseline,num_images_delta_tta2_minus_baseline,num_images_delta_tta2_minus_old_tta,positive_rate_delta_old_minus_baseline,positive_rate_delta_tta2_minus_baseline,positive_rate_delta_tta2_minus_old_tta,roc_auc_delta_old_minus_baseline,roc_auc_delta_tta2_minus_baseline,roc_auc_delta_tta2_minus_old_tta,average_precision_delta_old_minus_baseline,average_precision_delta_tta2_minus_baseline,average_precision_delta_tta2_minus_old_tta,accuracy_delta_old_minus_baseline,accuracy_delta_tta2_minus_baseline,accuracy_delta_tta2_minus_old_tta,precision_delta_old_minus_baseline,precision_delta_tta2_minus_baseline,precision_delta_tta2_minus_old_tta,recall_delta_old_minus_baseline,recall_delta_tta2_minus_baseline,recall_delta_tta2_minus_old_tta,f1_delta_old_minus_baseline,f1_delta_tta2_minus_baseline,f1_delta_tta2_minus_old_tta
Atelectasis,1740.0,0.028735632183908046,0.8496923076923076,0.1883828691189621,0.9310344827586207,0.18181818181818182,0.4,0.25,1740.0,0.028735632183908046,0.8310059171597634,0.15104459485460484,0.9040229885057471,0.14545454545454545,0.48,0.22325581395348837,1740.0,0.028735632183908046,0.8310414201183433,0.15109220790696554,0.9040229885057471,0.14545454545454545,0.48,0.22325581395348837,0.0,0.0,0.0,0.0,0.0,0.0,-0.018686390532544284,-0.01865088757396438,3.550295857990271e-05,-0.03733827426435726,-0.03729066121199656,4.7613052360701014e-05,-0.027011494252873525,-0.027011494252873525,0.0,-0.036363636363636376,-0.036363636363636376,0.0,0.07999999999999996,0.07999999999999996,0.0,-0.02674418604651163,-0.02674418604651163,0.0
Cardiomegaly,1740.0,0.10862068965517241,0.8229099505695251,0.44358742860552985,0.8885057471264368,0.4796747967479675,0.31216931216931215,0.3782051282051282,1740.0,0.10862068965517241,0.8482324085160966,0.48036881846292917,0.9022988505747126,0.8275862068965517,0.12698412698412698,0.22018348623853212,1740.0,0.10862068965517241,0.8482358198670257,0.48028907176606694,0.9022988505747126,0.8275862068965517,0.12698412698412698,0.22018348623853212,0.0,0.0,0.0,0.0,0.0,0.0,0.02532245794657151,0.02532586929750058,3.4113509290722988e-06,0.036781389857399316,0.03670164316053709,-7.974669686222624e-05,0.013793103448275779,0.013793103448275779,0.0,0.34791141014858423,0.34791141014858423,0.0,-0.18518518518518517,-0.18518518518518517,0.0,-0.15802164196659607,-0.15802164196659607,0.0
Consolidation,1740.0,0.027011494252873563,0.9106332709152831,0.2721539976119995,0.9683908045977011,0.3888888888888889,0.2978723404255319,0.3373493975903614,1740.0,0.027011494252873563,0.9016350177828606,0.2593729039516235,0.9603448275862069,0.3103448275862069,0.3829787234042553,0.34285714285714286,1740.0,0.027011494252873563,0.9016350177828606,0.25934506690772813,0.9603448275862069,0.3103448275862069,0.3829787234042553,0.34285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,-0.008998253132422529,-0.008998253132422529,0.0,-0.012781093660375997,-0.01280893070427136,-2.7837043895362346e-05,-0.008045977011494232,-0.008045977011494232,0.0,-0.07854406130268199,-0.07854406130268199,0.0,0.08510638297872342,0.08510638297872342,0.0,0.005507745266781439,0.005507745266781439,0.0
Edema,1740.0,0.0,,-0.0,0.9994252873563219,0.0,0.0,0.0,1740.0,0.0,,-0.0,0.9982758620689656,0.0,0.0,0.0,1740.0,0.0,,-0.0,0.9982758620689656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.0011494252873562871,-0.0011494252873562871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emphysema,1740.0,0.0011494252873563218,0.8271001150747985,0.005063420621931261,0.9936781609195402,0.0,0.0,0.0,1740.0,0.0011494252873563218,0.7850978135788262,0.005753968253968254,0.9919540229885058,0.0,0.0,0.0,1740.0,0.0011494252873563218,0.7850978135788262,0.005753968253968254,0.9919540229885058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04200230149597228,-0.04200230149597228,0.0,0.0006905476320369936,0.0006905476320369936,0.0,-0.0017241379310344307,-0.0017241379310344307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fibrosis,1740.0,0.06494252873563218,0.7993266286286177,0.30470720691740766,0.9367816091954023,0.5517241379310345,0.1415929203539823,0.22535211267605634,1740.0,0.06494252873563218,0.766647992124057,0.27604528739261663,0.9362068965517242,0.6666666666666666,0.035398230088495575,0.06722689075630252,1740.0,0.06494252873563218,0.7666588704983927,0.2761262127628907,0.9362068965517242,0.6666666666666666,0.035398230088495575,0.06722689075630252,0.0,0.0,0.0,0.0,0.0,0.0,-0.03267863650456071,-0.032667758130225044,1.087837433566552e-05,-0.028661919524791024,-0.02858099415451698,8.092537027404312e-05,-0.0005747126436781436,-0.0005747126436781436,0.0,0.11494252873563215,0.11494252873563215,0.0,-0.10619469026548672,-0.10619469026548672,0.0,-0.1581252219197538,-0.1581252219197538,0.0
Infiltration,1740.0,0.01896551724137931,0.7973407182546023,0.12647843970279074,0.8574712643678161,0.06827309236947791,0.5151515151515151,0.12056737588652482,1740.0,0.01896551724137931,0.7471552076121496,0.11572566604095638,0.7442528735632183,0.04424778761061947,0.6060606060606061,0.08247422680412371,1740.0,0.01896551724137931,0.7471374553975608,0.11571875721534619,0.7442528735632183,0.04424778761061947,0.6060606060606061,0.08247422680412371,0.0,0.0,0.0,0.0,0.0,0.0,-0.05018551064245269,-0.050203262857041464,-1.7752214588773185e-05,-0.010752773661834358,-0.01075968248744455,-6.908825610191238e-06,-0.11321839080459772,-0.11321839080459772,0.0,-0.024025304758858446,-0.024025304758858446,0.0,0.09090909090909094,0.09090909090909094,0.0,-0.03809314908240111,-0.03809314908240111,0.0
MACRO_MEAN,1740.0,0.03683385579937303,0.8516386529410855,0.25803754995105027,0.9458202716823407,0.299241790944735,0.2908026253260261,0.25570882222256586,1740.0,0.03683385579937303,0.8329998791777504,0.2571620513503086,0.9322884012539184,0.3244318712422854,0.2824649260747268,0.20789695701977493,1740.0,0.03683385579937303,0.8330018750501672,0.2571631101659636,0.9322884012539184,0.3244318712422854,0.2824649260747268,0.20789695701977493,0.0,0.0,0.0,0.0,0.0,0.0,-0.018638773763335115,-0.018636777890918332,1.9958724167823405e-06,-0.0008754986007416532,-0.000874439785086667,1.0588156549862227e-06,-0.013531870428422299,-0.013531870428422299,0.0,0.025190080297550377,0.025190080297550377,0.0,-0.008337699251299291,-0.008337699251299291,0.0,-0.04781186520279093,-0.04781186520279093,0.0
Nodule_Mass,1740.0,0.05747126436781609,0.842390243902439,0.38991961793009,0.9316091954022988,0.4,0.38,0.38974358974358975,1740.0,0.05747126436781609,0.8316158536585365,0.38713276951030184,0.9229885057471264,0.35833333333333334,0.43,0.39090909090909093,1740.0,0.05747126436781609,0.8316158536585365,0.38713287362826543,0.9229885057471264,0.35833333333333334,0.43,0.39090909090909093,0.0,0.0,0.0,0.0,0.0,0.0,-0.010774390243902476,-0.010774390243902476,0.0,-0.002786848419788157,-0.002786744301824573,1.0411796358411607e-07,-0.008620689655172376,-0.008620689655172376,0.0,-0.041666666666666685,-0.041666666666666685,0.0,0.04999999999999999,0.04999999999999999,0.0,0.0011655011655011815,0.0011655011655011815,0.0
Pleural_Effusion,1740.0,0.03333333333333333,0.9582496207306572,0.6611028943161571,0.9741379310344828,0.6101694915254238,0.6206896551724138,0.6153846153846154,1740.0,0.03333333333333333,0.9556664889909385,0.6359049518346648,0.9695402298850575,0.5384615384615384,0.603448275862069,0.5691056910569106,1740.0,0.03333333333333333,0.9556664889909385,0.6359049518346648,0.9695402298850575,0.5384615384615384,0.603448275862069,0.5691056910569106,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025831317397186915,-0.0025831317397186915,0.0,-0.02519794248149232,-0.02519794248149232,0.0,-0.0045977011494252595,-0.0045977011494252595,0.0,-0.07170795306388533,-0.07170795306388533,0.0,-0.017241379310344862,-0.017241379310344862,0.0,-0.04627892432770486,-0.04627892432770486,0.0
