label,num_images,positive_rate,roc_auc,average_precision,accuracy,precision,recall,f1
Atelectasis,1740.0,0.028735632183908046,0.8496923076923076,0.1883828691189621,0.9310344827586207,0.18181818181818182,0.4,0.25
Cardiomegaly,1740.0,0.10862068965517241,0.8229099505695251,0.44358742860552985,0.8885057471264368,0.4796747967479675,0.31216931216931215,0.3782051282051282
Pleural_Effusion,1740.0,0.03333333333333333,0.9582496207306572,0.6611028943161571,0.9741379310344828,0.6101694915254238,0.6206896551724138,0.6153846153846154
Consolidation,1740.0,0.027011494252873563,0.9106332709152831,0.2721539976119995,0.9683908045977011,0.3888888888888889,0.2978723404255319,0.3373493975903614
Edema,1740.0,0.0,,-0.0,0.9994252873563219,0.0,0.0,0.0
Emphysema,1740.0,0.0011494252873563218,0.8271001150747985,0.005063420621931261,0.9936781609195402,0.0,0.0,0.0
Fibrosis,1740.0,0.06494252873563218,0.7993266286286177,0.30470720691740766,0.9367816091954023,0.5517241379310345,0.1415929203539823,0.22535211267605634
Pleural_Thickening,1740.0,0.058045977011494256,0.8368783187043536,0.30176889783090527,0.9390804597701149,0.4444444444444444,0.19801980198019803,0.273972602739726
Pneumothorax,1740.0,0.006896551724137931,0.8718653549382717,0.14524827680577965,0.9839080459770115,0.16666666666666666,0.3333333333333333,0.2222222222222222
Nodule_Mass,1740.0,0.05747126436781609,0.842390243902439,0.38991961793009,0.9316091954022988,0.4,0.38,0.38974358974358975
Infiltration,1740.0,0.01896551724137931,0.7973407182546023,0.12647843970279074,0.8574712643678161,0.06827309236947791,0.5151515151515151,0.12056737588652482
MACRO_MEAN,1740.0,0.03683385579937303,0.8516386529410855,0.25803754995105027,0.9458202716823407,0.299241790944735,0.2908026253260261,0.25570882222256586
