batch_index,accepted_count,selected_count,batch_size,accepted_fraction,mean_entropy,loss,updated
0,2,2,16,0.125,0.48447710275650024,0.30091482400894165,True
1,3,2,16,0.1875,0.46860840916633606,0.29998138546943665,True
2,1,1,16,0.0625,0.47852063179016113,,False
3,1,1,16,0.0625,0.45516437292099,,False
4,3,2,16,0.1875,0.45347434282302856,0.2951034903526306,True
5,2,2,16,0.125,0.4733550250530243,0.3111589848995209,True
6,2,2,16,0.125,0.4449664354324341,0.28738245368003845,True
7,2,2,16,0.125,0.46814650297164917,0.27755486965179443,True
8,1,1,16,0.0625,0.475759357213974,,False
9,2,2,16,0.125,0.4563663601875305,0.23185625672340393,True
10,3,2,16,0.1875,0.4671604633331299,0.2800447940826416,True
11,3,2,16,0.1875,0.47360730171203613,0.25702762603759766,True
12,3,2,16,0.1875,0.4694143533706665,0.2836913764476776,True
13,3,2,16,0.1875,0.47250697016716003,0.2508665919303894,True
14,3,2,16,0.1875,0.43838953971862793,0.242955282330513,True
15,2,2,16,0.125,0.4528437852859497,0.3165505528450012,True
16,2,2,16,0.125,0.4617171585559845,0.32617273926734924,True
17,1,1,16,0.0625,0.47346624732017517,,False
18,3,2,16,0.1875,0.4705078899860382,0.29359883069992065,True
19,1,1,16,0.0625,0.4707178473472595,,False
20,2,2,16,0.125,0.4709397554397583,0.24144181609153748,True
21,2,2,16,0.125,0.45887115597724915,0.2810015082359314,True
22,2,2,16,0.125,0.46496832370758057,0.20789635181427002,True
23,2,2,16,0.125,0.47037726640701294,0.2451489269733429,True
24,3,2,16,0.1875,0.46174848079681396,0.29619675874710083,True
25,5,2,16,0.3125,0.4596497416496277,0.2591087520122528,True
26,2,2,16,0.125,0.4687316417694092,0.25783562660217285,True
27,2,2,16,0.125,0.4603871703147888,0.24633145332336426,True
28,3,2,16,0.1875,0.44947874546051025,0.28414541482925415,True
29,4,2,16,0.25,0.4436286389827728,0.2646969258785248,True
30,2,2,16,0.125,0.48382243514060974,0.25014209747314453,True
31,1,1,16,0.0625,0.46902161836624146,,False
32,2,2,16,0.125,0.45792049169540405,0.2723304033279419,True
33,3,2,16,0.1875,0.46653711795806885,0.24223969876766205,True
34,2,2,16,0.125,0.45089495182037354,0.26536816358566284,True
35,3,2,16,0.1875,0.4667162001132965,0.2977726459503174,True
36,1,1,16,0.0625,0.4599776864051819,,False
37,2,2,16,0.125,0.4668046832084656,0.2514857053756714,True
38,2,2,16,0.125,0.47016704082489014,0.3107273578643799,True
39,1,1,16,0.0625,0.4675055742263794,,False
40,2,2,16,0.125,0.46562883257865906,0.2823830842971802,True
41,2,2,16,0.125,0.46695971488952637,0.2571905851364136,True
42,1,1,16,0.0625,0.4598156809806824,,False
43,2,2,16,0.125,0.4721778631210327,0.2933545708656311,True
44,2,2,16,0.125,0.450062096118927,0.2548905611038208,True
45,0,0,16,0.0,0.4549753665924072,,False
46,1,1,16,0.0625,0.47160831093788147,,False
47,1,1,16,0.0625,0.46195030212402344,,False
48,1,1,16,0.0625,0.4564529061317444,,False
49,2,2,16,0.125,0.4652699828147888,0.31754907965660095,True
50,3,2,16,0.1875,0.45235615968704224,0.24853581190109253,True
51,2,2,16,0.125,0.46842846274375916,0.29174965620040894,True
52,2,2,16,0.125,0.47210004925727844,0.25296080112457275,True
53,0,0,16,0.0,0.4528936743736267,,False
54,2,2,16,0.125,0.4622805714607239,0.2788581848144531,True
55,0,0,16,0.0,0.45630988478660583,,False
56,3,2,16,0.1875,0.46462589502334595,0.23872801661491394,True
57,1,1,16,0.0625,0.474317729473114,,False
58,2,2,16,0.125,0.45448899269104004,0.29062312841415405,True
59,3,2,16,0.1875,0.46252185106277466,0.22453635931015015,True
60,2,2,16,0.125,0.4852569103240967,0.3015868663787842,True
61,1,1,16,0.0625,0.4796238839626312,,False
62,2,2,16,0.125,0.46855461597442627,0.23280483484268188,True
63,4,2,16,0.25,0.4665490388870239,0.2290063500404358,True
64,2,2,16,0.125,0.466840922832489,0.261064350605011,True
65,1,1,16,0.0625,0.4744890332221985,,False
66,3,2,16,0.1875,0.46238499879837036,0.2928842604160309,True
67,1,1,16,0.0625,0.4616003632545471,,False
68,2,2,16,0.125,0.46637678146362305,0.23317596316337585,True
69,0,0,16,0.0,0.47229695320129395,,False
70,2,2,16,0.125,0.4586435556411743,0.3202396035194397,True
71,2,2,16,0.125,0.46064430475234985,0.28475111722946167,True
72,1,1,16,0.0625,0.44933903217315674,,False
73,3,2,16,0.1875,0.46592801809310913,0.2485179305076599,True
74,1,1,16,0.0625,0.47594109177589417,,False
75,4,2,16,0.25,0.4527910649776459,0.26680660247802734,True
76,3,2,16,0.1875,0.4723203182220459,0.23519739508628845,True
77,2,2,16,0.125,0.4583408832550049,0.2920811176300049,True
78,1,1,16,0.0625,0.4770413041114807,,False
79,2,2,16,0.125,0.4673551321029663,0.2251196801662445,True
80,1,1,16,0.0625,0.4544617235660553,,False
81,3,2,16,0.1875,0.4717453122138977,0.23604372143745422,True
82,1,1,16,0.0625,0.46484673023223877,,False
83,1,1,16,0.0625,0.45856761932373047,,False
84,2,2,16,0.125,0.46024495363235474,0.30710119009017944,True
85,3,2,16,0.1875,0.45633235573768616,0.3000457286834717,True
86,1,1,16,0.0625,0.45653587579727173,,False
87,1,1,16,0.0625,0.4748048484325409,,False
88,2,2,16,0.125,0.4411974847316742,0.17924189567565918,True
89,1,1,16,0.0625,0.452644020318985,,False
90,2,2,16,0.125,0.4726622700691223,0.23699957132339478,True
91,2,2,16,0.125,0.4593347907066345,0.24759113788604736,True
92,2,2,16,0.125,0.4783170223236084,0.3101438283920288,True
93,2,2,16,0.125,0.44499167799949646,0.25433558225631714,True
94,1,1,16,0.0625,0.46677789092063904,,False
95,2,2,16,0.125,0.47085684537887573,0.3102637529373169,True
96,2,2,16,0.125,0.4606572687625885,0.23378007113933563,True
97,1,1,16,0.0625,0.462275892496109,,False
98,2,2,16,0.125,0.4578949809074402,0.29248031973838806,True
99,1,1,16,0.0625,0.45861226320266724,,False
100,0,0,16,0.0,0.46728822588920593,,False
101,3,2,16,0.1875,0.4480803906917572,0.2938443422317505,True
102,2,2,16,0.125,0.46535223722457886,0.2573675215244293,True
103,3,2,16,0.1875,0.4694775342941284,0.2809494137763977,True
104,2,2,16,0.125,0.47576582431793213,0.2819758653640747,True
105,1,1,16,0.0625,0.46912822127342224,,False
106,2,2,16,0.125,0.4475932717323303,0.32114309072494507,True
107,1,1,16,0.0625,0.46498534083366394,,False
108,1,1,12,0.08333333333333333,0.4709561765193939,,False
