tta_mode,batch_index,trainable_parameter_count,accepted_count,batch_size,accepted_fraction,mean_entropy,loss,updated
head_plus_bn_tta,0,88773,2,16,0.125,0.5438398122787476,0.3253088593482971,True
head_plus_bn_tta,1,88773,2,16,0.125,0.5319481492042542,0.34074851870536804,True
head_plus_bn_tta,2,88773,3,16,0.1875,0.5401961803436279,0.3551972210407257,True
head_plus_bn_tta,3,88773,1,16,0.0625,0.5065381526947021,,False
head_plus_bn_tta,4,88773,4,16,0.25,0.5218896269798279,0.34767255187034607,True
head_plus_bn_tta,5,88773,1,16,0.0625,0.5339118242263794,,False
head_plus_bn_tta,6,88773,3,16,0.1875,0.5149357914924622,0.3461490571498871,True
head_plus_bn_tta,7,88773,4,16,0.25,0.5346724987030029,0.3764329254627228,True
head_plus_bn_tta,8,88773,3,16,0.1875,0.5348092913627625,0.35385093092918396,True
head_plus_bn_tta,9,88773,3,16,0.1875,0.5070741176605225,0.3870188891887665,True
head_plus_bn_tta,10,88773,2,16,0.125,0.5347906351089478,0.3136075437068939,True
head_plus_bn_tta,11,88773,2,16,0.125,0.542826235294342,0.3210582733154297,True
head_plus_bn_tta,12,88773,2,16,0.125,0.5199667811393738,0.3860659599304199,True
head_plus_bn_tta,13,88773,1,16,0.0625,0.5404348373413086,,False
head_plus_bn_tta,14,88773,4,16,0.25,0.49787086248397827,0.35382145643234253,True
head_plus_bn_tta,15,88773,2,16,0.125,0.4935108721256256,0.29791587591171265,True
head_plus_bn_tta,16,88773,2,16,0.125,0.5368273854255676,0.3776453137397766,True
head_plus_bn_tta,17,88773,4,16,0.25,0.5177077651023865,0.37699443101882935,True
head_plus_bn_tta,18,88773,3,16,0.1875,0.5322147607803345,0.374637633562088,True
head_plus_bn_tta,19,88773,0,16,0.0,0.5314754247665405,,False
head_plus_bn_tta,20,88773,1,16,0.0625,0.5408680438995361,,False
head_plus_bn_tta,21,88773,2,16,0.125,0.5159391164779663,0.3924887776374817,True
head_plus_bn_tta,22,88773,2,16,0.125,0.49798884987831116,0.27458804845809937,True
head_plus_bn_tta,23,88773,3,16,0.1875,0.536018967628479,0.34249934554100037,True
head_plus_bn_tta,24,88773,3,16,0.1875,0.5441874861717224,0.3940761089324951,True
head_plus_bn_tta,25,88773,4,16,0.25,0.5117605924606323,0.35370051860809326,True
head_plus_bn_tta,26,88773,3,16,0.1875,0.5277912616729736,0.33424487709999084,True
head_plus_bn_tta,27,88773,3,16,0.1875,0.5081917643547058,0.35241279006004333,True
head_plus_bn_tta,28,88773,4,16,0.25,0.5045899152755737,0.3888499438762665,True
head_plus_bn_tta,29,88773,4,16,0.25,0.49728232622146606,0.3823567032814026,True
head_plus_bn_tta,30,88773,2,16,0.125,0.5436872839927673,0.2921897768974304,True
head_plus_bn_tta,31,88773,2,16,0.125,0.5319082736968994,0.35618090629577637,True
head_plus_bn_tta,32,88773,3,16,0.1875,0.5257623195648193,0.33838319778442383,True
head_plus_bn_tta,33,88773,2,16,0.125,0.513229489326477,0.33170467615127563,True
head_plus_bn_tta,34,88773,3,16,0.1875,0.5090259313583374,0.35445353388786316,True
head_plus_bn_tta,35,88773,2,16,0.125,0.515916109085083,0.3430688977241516,True
head_plus_bn_tta,36,88773,5,16,0.3125,0.5077368021011353,0.39797574281692505,True
head_plus_bn_tta,37,88773,3,16,0.1875,0.5332908034324646,0.39731886982917786,True
head_plus_bn_tta,38,88773,0,16,0.0,0.5490165948867798,,False
head_plus_bn_tta,39,88773,2,16,0.125,0.5134404897689819,0.3861916661262512,True
head_plus_bn_tta,40,88773,2,16,0.125,0.5349377989768982,0.3312259912490845,True
head_plus_bn_tta,41,88773,3,16,0.1875,0.5322086811065674,0.3769647777080536,True
head_plus_bn_tta,42,88773,2,16,0.125,0.5423325896263123,0.33151939511299133,True
head_plus_bn_tta,43,88773,2,16,0.125,0.5232136249542236,0.3824668228626251,True
